Original Line,Original Title,New Document,New Section Title,Routing Method
12744,AI Service Manager (AISM),15_PackagesServices.md,AI Service Manager (AISM),chapter
1788,Workflow Decision Governance,16_GovernanceSecurity.md,Workflow Decision Governance,keyword
1977,Engineering Policies,16_GovernanceSecurity.md,Engineering Policies,keyword
1996,Privacy Policies,16_GovernanceSecurity.md,Privacy Policies,keyword
2036,Cost Optimization Policies,16_GovernanceSecurity.md,Cost Optimization Policies,keyword
2054,Latency Optimization Policies,16_GovernanceSecurity.md,Latency Optimization Policies,keyword
4770,Engineering Identity,16_GovernanceSecurity.md,Engineering Identity,keyword
4840,Engineering Governance Enforcement,16_GovernanceSecurity.md,Engineering Governance Enforcement,keyword
4857,Intelligent Policy Engine,16_GovernanceSecurity.md,Intelligent Policy Engine,keyword
4877,Regulatory Compliance,16_GovernanceSecurity.md,Regulatory Compliance,keyword
5383,AI Operating System Security Architecture,16_GovernanceSecurity.md,AI Operating System Security Architecture,keyword
5395,Zero Trust Architecture,16_GovernanceSecurity.md,Zero Trust Architecture,keyword
5407,Identity Management,16_GovernanceSecurity.md,Identity Management,keyword
5429,Authentication Framework,16_GovernanceSecurity.md,Authentication Framework,keyword
5448,Authorization Framework,16_GovernanceSecurity.md,Authorization Framework,keyword
5467,Fine-Grained Permissions,16_GovernanceSecurity.md,Fine-Grained Permissions,keyword
5488,Engineering Policy Enforcement,16_GovernanceSecurity.md,Engineering Policy Enforcement,keyword
5507,Provider Security,16_GovernanceSecurity.md,Provider Security,keyword
5525,Memory Security,16_GovernanceSecurity.md,Memory Security,keyword
5542,T-BIT Security Integration,16_GovernanceSecurity.md,T-BIT Security Integration,keyword
5560,Secure Repository Access,16_GovernanceSecurity.md,Secure Repository Access,keyword
5576,Secure Local Resource Access,16_GovernanceSecurity.md,Secure Local Resource Access,keyword
5594,Plugin Security,16_GovernanceSecurity.md,Plugin Security,keyword
5610,MCP Security,16_GovernanceSecurity.md,MCP Security,keyword
5626,Tool Security,16_GovernanceSecurity.md,Tool Security,keyword
5641,Credential Management,16_GovernanceSecurity.md,Credential Management,keyword
5658,Secret Management,16_GovernanceSecurity.md,Secret Management,keyword
5676,Encryption,16_GovernanceSecurity.md,Encryption,keyword
5694,Privacy Protection,16_GovernanceSecurity.md,Privacy Protection,keyword
5710,Data Residency,16_GovernanceSecurity.md,Data Residency,keyword
5725,Secure Engineering Execution,16_GovernanceSecurity.md,Secure Engineering Execution,keyword
5739,Security Audit Trail,16_GovernanceSecurity.md,Security Audit Trail,keyword
5759,Incident Detection,16_GovernanceSecurity.md,Incident Detection,keyword
5777,Security Response,16_GovernanceSecurity.md,Security Response,keyword
5795,Engineering Compliance Framework,16_GovernanceSecurity.md,Engineering Compliance Framework,keyword
5813,Security Observability,16_GovernanceSecurity.md,Security Observability,keyword
5832,AI Operating System Trust Model,16_GovernanceSecurity.md,AI Operating System Trust Model,keyword
5849,Security Principles,16_GovernanceSecurity.md,Security Principles,keyword
6062,Engineering Automation Framework,16_GovernanceSecurity.md,Engineering Automation Framework,override
6096,Engineering Automation Policies,16_GovernanceSecurity.md,Engineering Automation Policies,keyword
6113,Human Approval Gates,16_GovernanceSecurity.md,Human Approval Gates,override
6130,Autonomous Decision Boundaries,16_GovernanceSecurity.md,Autonomous Decision Boundaries,override
6146,Workflow Governance Engine,16_GovernanceSecurity.md,Workflow Governance Engine,keyword
6197,Engineering Governance Hierarchy,16_GovernanceSecurity.md,Engineering Governance Hierarchy,keyword
6701,Resource Governance,16_GovernanceSecurity.md,Resource Governance,keyword
8029,Application Permissions,16_GovernanceSecurity.md,Application Permissions,keyword
8679,Autonomous Learning Policies,16_GovernanceSecurity.md,Autonomous Learning Policies,keyword
14365,Policy Philosophy,16_GovernanceSecurity.md,Policy Philosophy,chapter
14389,Policy Identity,16_GovernanceSecurity.md,Policy Identity,chapter
14406,Policy Categories,16_GovernanceSecurity.md,Policy Categories,chapter
14452,Policy Scope,16_GovernanceSecurity.md,Policy Scope,chapter
14474,Policy Priority,16_GovernanceSecurity.md,Policy Priority,chapter
14496,Policy Conditions,16_GovernanceSecurity.md,Policy Conditions,chapter
14518,Policy Actions,16_GovernanceSecurity.md,Policy Actions,chapter
14542,Policy Evaluation,16_GovernanceSecurity.md,Policy Evaluation,chapter
14558,Policy Inheritance,16_GovernanceSecurity.md,Policy Inheritance,chapter
14596,Policy Composition,16_GovernanceSecurity.md,Policy Composition,chapter
14606,Policy Versioning,16_GovernanceSecurity.md,Policy Versioning,chapter
14622,Policy Registry,16_GovernanceSecurity.md,Policy Registry,chapter
14639,Policy Validation,16_GovernanceSecurity.md,Policy Validation,chapter
14656,Policy Enforcement,16_GovernanceSecurity.md,Policy Enforcement,chapter
14675,Dynamic Policy Updates,16_GovernanceSecurity.md,Dynamic Policy Updates,chapter
14685,Policy Audit,16_GovernanceSecurity.md,Policy Audit,chapter
14702,Policy Simulation,16_GovernanceSecurity.md,Policy Simulation,chapter
14712,Organizational Policy Packs,16_GovernanceSecurity.md,Organizational Policy Packs,chapter
14729,Policy Lifecycle,16_GovernanceSecurity.md,Policy Lifecycle,chapter
14771,Policy Definition Principles,16_GovernanceSecurity.md,Policy Definition Principles,chapter
14789,Memory Object Specification (MOS),16_GovernanceSecurity.md,Memory Object Specification (MOS),chapter
4454,Future-Proof Architecture,17_ExtensibilityRoadmap.md,Future-Proof Architecture,keyword
4938,Engineering Operating System Roadmap,17_ExtensibilityRoadmap.md,Engineering Operating System Roadmap,keyword
5869,Extensibility Architecture,17_ExtensibilityRoadmap.md,Extensibility Architecture,keyword
5881,Native Extensibility,17_ExtensibilityRoadmap.md,Native Extensibility,keyword
8339,AI Native Extensibility,17_ExtensibilityRoadmap.md,AI Native Extensibility,keyword
10131,Backward Compatibility,17_ExtensibilityRoadmap.md,Backward Compatibility,keyword
10150,Reference Implementation,17_ExtensibilityRoadmap.md,Reference Implementation,keyword
10172,AIOS Evolution Strategy,17_ExtensibilityRoadmap.md,AIOS Evolution Strategy,keyword
